Try the new events page,,,,,
,Submit an event! ,Cerebral Valley,,,
,,Join our Slack Community,,,
,ðŸ“§ Subscribe to the Events Newsletter,New York,London,Seattle,
,ðŸ“§ DM Cerebral Valley on Twitter,Click to see 2025 Events!,,,
Month,Event,Start Date,End Date,Location,Link
October,GPU Mode Hackathon,24 October,24 October,"San Francisco, CA",https://events.accel.com/gpumodehackathon
,PyTorch Dendritic Optimization Hackathon,23 October,23 October,"San Francisco, CA",https://luma.com/29ao8utd
,TEDAI San Francisco Hackathon,18 October,19 October,"San Francisco, CA",https://tedai-sanfrancisco.ted.com/hackathon/
,WeaveHacks 2: Self-Improving Agents Hackathon with Weights & Biases and Google Cloud,11 October,12 October,"San Francisco, CA",https://luma.com/weavehacks2
,Agentic Memory & Context Engineering Hackathon,11 October,11 October,"San Francisco, CA",https://partiful.com/e/SJZa5f8VCrcyTLMCvRsv
,Supabase Select Hackathon,4 October,4 October,"San Francisco, CA",https://luma.com/1ygcx99w
September,Reborn Roboverse Global Hackathon,29 September,6 October,Remote,https://hackathon.reborn-ai.xyz/?utm_source=cv-events
,Hack the Next Voice Agent,27 September,27 September,"Palo Alto, CA",https://luma.com/xcx9dvik
,"Fullstack Agents Hackathon (Feat LlamaIndex, CopilotKit & Composio) ",27 September,27 September,"Mountain View, CA",https://luma.com/k3gytona
,Silicon Valley AI Hub Hackathon,26 September,26 September,"Menlo Park, CA",https://cerebralvalley.ai/e/svai-hub-hackathon?tab=guest-list
,Coding with AI Hackathon,26 September,26 September,"San Francisco, CA",https://luma.com/ai-coding-hack
,Decentralized AI Hackathon at Stanford powered by Flower,26 September,26 September,"Stanford, CA",https://luma.com/svkgfw2w
,$5000 De-Vibed Hackathon,19 September,20 September,"San Francisco, CA",https://luma.com/dj3k3tri
,AI Agents Hackathon,19 September,19 September,"San Francisco, CA",https://lu.ma/8c6n3rn2
,Voice Agent Hackathon,19 September,19 September,"San Francisco, CA",https://lu.ma/suhy8sgz
,The Modern Stack Hackathon,16 September,29 September,Remote,https://www.convex.dev/hackathons/modernstack
,Hackathon: Build Your AI Teammate,13 September,14 September,"San Francisco, CA",https://luma.com/9t4bxc8x
,Multi-Agent Hackathon,13 September,13 September,"San Francisco, CA",https://luma.com/i7shx4y6
,AI Vibe Coding Hackathon,13 September,13 September,"San Francisco, CA",https://lu.ma/f13dwefh
,xAI + Vercel Hackathon,11 September,11 September,"San Francisco, CA",https://partiful.com/e/sa3etfyhGd50TSuWUktU
,Vibe Labs Workshop & Hackathon,8 September,8 September,"San Francisco, CA",https://lu.ma/vibes-shipathon
,Nano Banana Hackathon,6 September,6 September,"San Francisco, CA",https://cerebralvalley.ai/e/nano-banana?utm_source=cv-events-featured&utm_medium=cerebralvalley&tab=guest-list
August,CrewAI Hackathon,23 August,23 August,"San Francisco, CA",https://lu.ma/cif1kc8v
,Applied AI Hackathon,23 August,23 August,"San Francisco, CA",https://lu.ma/5j1xt7tg
,YC Agents Hackathon,22 August,23 August,"San Francisco, CA",https://lu.ma/pz27h0xy
,The KumoRFM Hackathon Challenge,20 August,20 August,"San Francisco, CA",https://lu.ma/w0xg3dct
,AI Collective Presents: GenJam Video Hackathon,16 August,16 August,"San Francisco, CA",https://lu.ma/aic-gl-8-16
,AI Hackathon: Corp-Agent vibe coding,16 August,16 August,"San Francisco, CA",https://lu.ma/8clf1otc
,Cortex AI Agent Hybrid Hackathon,15 August,16 August,"San Mateo, CA",https://lu.ma/ozlvxsmj
,MCP Hackathon: Launch Party,12 August,8 September,"San Francisco, CA",https://globalmcphackathon.com/
,"MiniMax $150,000 AI Agent Challenge",11 August,1 September,Remote,https://minimax-agent-hackathon.space.minimax.io/
,Voice AI Hackathon | Soma x EF,9 August,9 August,"San Francisco, CA",https://lu.ma/ubrw29w5
,AI Coding Agents Hackathon,9 August,9 August,"San Francisco, CA",https://lu.ma/hzwlapu0
,AI for Bio Hackathon,2 August,2 August,"San Francisco, CA",https://lu.ma/sru1gmwb
,Agents in the Loop Hackathon,2 August,2 August,"San Francisco, CA",https://lu.ma/64ndzaby
,SF10x Hackathon,1 August,3 August,"San Francisco, CA",https://lu.ma/pvc2ivh5
July,NVIDIA x Schematic: Industrial AI Hackathon,31 July,31 July,"San Francisco, CA",https://lu.ma/p92r4rjm
,Magic Hour Hackathon: Remix the Future of Sports,28 July,28 July,"Oakland, CA",https://lu.ma/xabv825r
,AI + Hardware 24hr Hack,26 July,27 July,"San Francisco, CA",https://lu.ma/0ri6o2h0
,ForgeHacks 2025 Consumer AI Hackathon,26 July,26 July,"San Francisco, CA",https://lu.ma/7qw2nqyf
,Orgo AI Agents Hackathon,26 July,26 July,"San Francisco, CA",https://lu.ma/orgo
,Enterprise + Ambient Agents Hackathon,26 July,26 July,"San Francisco, CA",https://lu.ma/aoc5opn4
,AWS AI Hackathon: Enteprise Agents,25 July,25 July,"San Francisco, CA",https://lu.ma/awshack
,Orgo AI Agents Hackathon,21 July,31 July,Remote,https://cerebralvalley.ai/e/orgo-ai-agents-hackathon-cb75e90c
,"MCP and Agents Hackathon w/ Featureform, Ridge Ventures, and Smithery.ai",19 July,20 July,"San Francisco, CA",https://lu.ma/2rch4ihg
,Ruby AI Hackathon,19 July,19 July,"San Francisco, CA",https://lu.ma/znhcct7v
,Convex & Resend Hackathon,16 July,4 August,Remote,https://lu.ma/convexresendhackathon
,"Hello, Self-Writing Internet",15 July,15 July,"San Francisco, CA",https://lu.ma/hello-swi
,Mentra Live Hackathon,12 July,13 July,"San Francisco, CA",https://lu.ma/jpjpjyta
,"WeaveHacks: Agent Protocols Hackathon (MCP, A2A) with Weights & Biases & Google Cloud",12 July,13 July,"San Francisco, CA",https://lu.ma/weavehacks
,Magical AI Hackathon with Replicate x BuildShip x ElevenLabs x Cloudflare ,12 July,12 July,"San Francisco, CA",https://lu.ma/ai-magic-hack
,Coinbase Agents in Action Hackathon Winners Demo Day,10 July,10 July,"San Francisco, CA",https://lu.ma/guo4pnfa
June,Google - The Gemma 3n Impact Challenge,28 June,6 August,Remote,https://www.kaggle.com/competitions/google-gemma-3n-hackathon/
,Humane Tech Hackathon: Vibe Code for Humanity,28 June,28 June,"San Francisco, CA",https://lu.ma/xuu50974?utm_source=cerebralvalley&utm_medium=event&utm_campaign=hackathon&utm_content=jun28
,"SPACE x SEA Hackathon (IoT, Space, Maritime, Defense, Climate) by H*QUOTIENT, Entrepreneurs First, and CRV",27 June,27 June,"San Francisco, CA",https://lu.ma/hcnn1ugx
,FLUX.1 Kontext AI Hackathon with Black Forest Labs and Replicate,21 June,21 June,"San Francisco, CA",https://lu.ma/air6b63y
,MCP Agents Hackathon: Building the Future of AI at Founders Garage,21 June,21 June,"San Francisco, CA",https://lu.ma/xas35gaa
,YC AI Startup School | AI Mixer & Hackathon,21 June,21 June,"San Mateo, CA",https://lu.ma/evihf3gu
,Le Robot Hackathon,14 June,15 June,"Mountain View, CA",https://lu.ma/eanwy2bp
,Longevity x AI Hackathon,14 June,15 June,"San Francisco, CA",https://lu.ma/a2ag12ya
,Weekend Agent Hack,14 June,15 June,"Mountain View, CA",https://lu.ma/fjs446ye
,AMD x Axolotl x GPU Mode - Synthetic Data Hackathon,8 June,8 June,"San Francisco, CA",https://cerebralvalley.ai/e/synthetic-data-hack-3974116f
,WaldHacks 2025,4 June,18 June,Remote,https://preswald.com/hackathon
May,AI Engineer World's Fair Hackathon,31 May,1 June,"San Francisco, CA",https://cerebralvalley.ai/e/aiewf-hackathon-2025?utm_source=cv-events-featured&utm_medium=cerebralvalley&utm_campaign=event-marketing
,n8n AI Workflow Hackathon,31 May,1 June,"San Francisco, CA",https://lu.ma/n8n-aiworkflow-hack?utm_source=cerebralvalleyai
,Multi-Agent Hackathon: Build Multi-Modal Workflows with Tenstorrent,31 May,31 May,"San Francisco, CA",https://lu.ma/pkhmut6r
,AWS MCP Agents Hackathon,30 May,30 May,"San Francisco, CA",https://lu.ma/mcphack
,VIBE25-2: After Hours Vibe Hackathon,30 May,30 May,"San Francisco, CA",https://lu.ma/rcwhkub3
,"Low-Code/No-Code AI Hackathon for Building Bold, Fast, and Smart",21 May,24 May,"San Francisco, CA",https://lu.ma/8nqtqlob
,Out-Of-Pocket's Healthcare AI Hackathon 2025 - Demo Day & Happy Hour,18 May,18 May,"San Francisco, CA",https://lu.ma/yrmhnnia
,Nous Research â€“ RL Environments Hackathon,18 May,18 May,"San Francisco, CA",https://cerebralvalley.ai/e/nous-research-rl-environments-hackathon-9be3062a
,Post-AGI Hackathon,17 May,17 May,"San Francisco, CA",https://lu.ma/chtq6zqv
,World's Biggest MCP Hackathon,17 May,17 May,"San Francisco, CA",https://lu.ma/t4zeld9m
,r/AI_Agents Official 100k Online Hackathon,14 May,21 May,Remote,https://lu.ma/ai-agents-hackathon
,Modular GPU Kernel Hackathon,10 May,10 May,"San Francisco, CA",https://app.agihouse.org/events/modular-hackathon-20250510
,"Dumb Things AI Hackathon With Replicate, OpenAI, and Cloudflare",4 May,4 May,"San Francisco, CA",https://lu.ma/qumm6n8v
,LlamaCon Hackathon hosted by Meta,3 May,4 May,"San Francisco, CA",https://cerebralvalley.ai/e/llamacon-hackathon-2025
,MCP Agents Hackathon - AWS Edition,2 May,2 May,"San Francisco, CA",https://lu.ma/vibecode
April,National Security Hackathon,26 April,27 April,"San Francisco, CA",https://cerebralvalley.ai/e/national-security-hackathon-5a6fa1dc
,Future of Web Hackathon,26 April,26 April,"San Francisco, CA",https://lu.ma/ft218za3
,Sentient Chat Hackathon ,26 April,26 April,"San Francisco, CA",https://docs.google.com/forms/d/e/1FAIpQLScTZTxO5SkIiodLhTfFZFvIU9D_-xcG5isa9fB0Xf_-4spKSw/viewform
,Convex Top Chef (Vibe Coding) Hackathon,22 April,22 April,"San Francisco, CA",https://lu.ma/re9i2vyh
,UAP Hackathon,18 April,20 April,"Alameda, CA",https://www.sf-uap.com/
,Masumi X Silverside AI present: Hack the future-AI unchained,18 April,19 April,"San Francisco, CA",https://www.agorize.com/en/challenges/hack-the-future-ai-unchained
,Hack the Future - AI Unchained,18 April,19 April,"San Francisco, CA",https://lu.ma/x5gjxb3y
,Minerva Hacks - AI in Education | Hackathon & Essay Contest,18 April,19 April,"San Francisco, CA",https://lu.ma/89qo25np
,DeSci & Longevity Hackathon,18 April,19 April,"Berkley, CA",https://lu.ma/vyurq31f
,"Signal Fire Presents: One Day Vibe Coding Hackathon â€” Build with AI, Code by Vibes",18 April,18 April,"San Francisco, CA",https://lu.ma/zqteha05
,SPC x Anthropic Hackathon Demo Night,13 April,13 April,"San Francisco, CA",https://lu.ma/spc-anthropic-demos
,AI GAME DEV HACKATHON,12 April,13 April,"San Francisco, CA",https://lu.ma/4tegf5zb
,OIX Lab Series 101: AI Video Understanding Mini-Hackathon,11 April,11 April,"San Francisco, CA",https://lu.ma/khy6kohi
,Next.js Global Hackathon,7 April,17 April,Remote,https://next-hackathon-2025.vercel.app/
,AI Voice Agents hackathon | Vapi | Elevenlabs | Smallest AI,6 April,6 April,"San Francisco, CA",https://lu.ma/59svuie8
,LLM x Law Hackathon #5,6 April,6 April,"Stanford, CA",https://partiful.com/e/olwKTWABsg7TAlBO6oGB
,Digital Twins + Agent Coordination Hackathon,5 April,5 April,"San Francisco, CA",https://lu.ma/szdqy6za
,jazz.tools vibe coding microâ€‘hackathon,1 April,1 April,"San Francisco, CA",https://lu.ma/1fru6ldd
March,Digital Twins + Agent Coordination Hackathon,23 March,23 March,"San Francisco, CA",https://lu.ma/szdqy6za
,Realtime AI Agents - 1 day Hackathon,22 March,22 March,"San Francisco, CA",https://lu.ma/meofrw3d
,Kaedim 24-Hour 3D x AI x Games Hackathon,22 March,23 March,"San Francisco, CA",https://kaedim-hackathon.framer.ai/
,Engineers Only: GPU Hackathon â€“ Fine-Tune DeepSeek + Master Chess ,21 March,22 March,"San Francisco, CA",https://lu.ma/7nbbmk0w
,GDC Edition â€” Silicon Valley TyCoon: 8-Hour Game Hackathon,21 March,21 March,"San Francisco, CA",https://lu.ma/8edjg73e
,Worldâ€™s Shortest Hackathon at GTC,20 March,20 March,"San Jose, CA",https://developer.nvidia.com/GTC-Hackathon
,AI For Good Hackathon,15 March,16 March,"San Francisco, CA",https://lu.ma/ai-for-good-hackathon
,"Useful Agents Hackathon w/ NEAR AI, SF Compute & Electric Capital",14 March,15 March,"San Francisco, CA",https://lu.ma/7jqs1l34
,Hack #1: Personal AI Assistants,8 March,8 March,"San Francisco, CA",https://lu.ma/2p0b90pq
,Omi Mentor Hackathon,2 March,2 March,Remote,https://contest.omi.me/mentor
February,Hacking Agents Hackathon,28 February,1 March,"San Francisco, CA",https://lu.ma/hacking-agents-hackathon?utm_source=cerebral-valley
,AI Supply Chain Hackathon 2025: Extreme Weather,27 February,28 February,"Sunnyvale, CA",https://www.eventbrite.com/e/ai-supply-chain-hackathon-2025-extreme-weather-tickets-1201677833749
,Engineers Only: GPU Hackathon â€“ Fine-Tune DeepSeek + Master Chess,21 February,22 February,"San Francisco, CA",https://lu.ma/b7487mmz
,Aiify.io {AI Agents} Love Hack,15 February,16 February,"San Francisco, CA",https://lu.ma/lovehack
,Build Agents That Move Real Money,15 February,15 February,"San Francisco, CA",https://partiful.com/e/IZKtBNR0RESyzooFZcFp
,Multimodal AI Agents - Hackathon,15 February,15 February,"San Francisco, CA",https://lu.ma/fyu8iqnk
,AI x Geoengineering Hacking Earthâ€™s Future,8 February,9 February,"San Francisco, CA",https://lu.ma/1ixp727l
,Coinbase Onchain AI Hackathon,1 February,2 February,"San Francisco, CA",https://lu.ma/kbe9krnl
January,Open Source AI Hackathon: Meet Dobby,25 January,25 January,"San Francisco, CA",https://lu.ma/wd7adqa4
,Can VC's even code - Hackathon,25 January,25 January,"San Francisco, CA",https://lu.ma/x7cj8egl
,Women in AI RAG Hackathon,25 January,25 January,"Stanford, CA",https://lu.ma/women-in-tech
,Google MultiModal Hackathon,18 January,18 January,"San Francisco, CA",https://app.agihouse.org/events/google-multimodal-hackathon-20250118
,mcp.run Hackathon,16 January,16 January,"San Francisco, CA",https://lu.ma/ery1237h
,HealthTech Hackathon (Day 1 of 2),11 January,12 January,"San Francisco, CA",https://lu.ma/HThack?utm_source=cerebralvalley
,"Hackathon! AI, CFD and Wind Tunnel Data - Presented by Lola Cars",5 January,5 January,"San Francisco, CA",https://lu.ma/lgoxpv9g
,Demoscene DreamHack ,4 January,4 January,"San Francisco, CA",https://partiful.com/e/xB9E5znRwhV9jBeCytw7
2025,,,,,
December,Chess Hackathon: Train AI Chess Bots on GPUs,13 December,14 December,"San Francisco, CA",https://lu.ma/wto5udsd?utm_source=cerebralvalley
,Advent of Multimodal AI Hackathon | hosted by Intel Liftoff and Startups,11 December,13 December,Remote,https://adventaihacks.com/
,HeyGen x GenAI Collective AI Video Gen Hackathon,11 December,11 December,"San Francisco, CA",https://lu.ma/heygen-ai
,Agents in Prod Hackathon - ft Softbank,7 December,7 December,"San Francisco, CA",https://partiful.com/e/eYn73KI885tbSWRytCJH
,Voice & Video AI Agents Hackathon,7 December,7 December,"San Francisco, CA",https://lu.ma/i8bow7sr
,Video Agents Hackathon @ Daily.co ft. Simli,6 December,6 December,"San Francisco, CA",https://lu.ma/stdiw7yd
November,"Magic Mirrors: Video Agent Hackathon ft. Daily, Cartesia and Simli",30 November,30 November,"San Francisco, CA",https://lu.ma/osccczak
,USS Hornet Defense Tech Hackathon,23 November,24 November,"Alameda, CA",https://lu.ma/uss-hornet-hackathon
,"Meme-orama: Video Agent Hackathon ft. Daily, Cartesia and Simli",23 November,23 November,"San Francisco, CA",https://lu.ma/c3pualy8
,Supabase AI Hackathon at YC,22 November,23 November,"San Francisco, CA",https://supabase.com/events/supabase-ai-hackathon-at-y-combinator
,Mega Chess SF Hackathon: Train AI Chess Bots on GPUs,15 November,16 November,"San Francisco, CA",https://lu.ma/cnvoxqwk
,Chipp Hackathon - AI Action,12 November,12 November,"San Francisco, CA",https://lu.ma/elei5tei
,Llama Impact Hackathon,8 November,10 November,"San Francisco, CA",https://lu.ma/1mkqg22a
,Vertical Agents Hackathon,2 November,3 November,"San Francisco, CA",https://sf.aitinkerers.org/p/ai-tinkerers-humans-in-the-loop-agents-hackathon-with-google-cloud-weights-biases
,Omi Apps Hackathon,1 November,30 November,Remote,https://omi.devpost.com/
October,AI/Journalism Hackathon at UC Berkeley: Harnessing AI to Enhance Trust and Deepen Engagement in Local Communities,25 October,27 October,"Berkeley, CA",https://lu.ma/ba5raxwa
,Web Dev Challenge Hackathon: Learn with Jason,23 October,23 October,"San Francisco, CA",https://www.sanity.io/events/hackathon-nextjsconf
,LLM Agents MOOC Hackathon,21 October,17 December,"Berkeley, CA",https://rdi.berkeley.edu/llm-agents-hackathon/
,Gen AI Agents Hackathon,20 October,20 October,"San Francisco, CA",https://lu.ma/ke0rwi8n
,Open Source Conversational & Multi-modal AI Hackathon,19 October,20 October,"San Francisco, CA",https://lu.ma/6www8b0t
,Cerebral Valley Codegen Hackathon: Factory AI x Meta,19 October,20 October,"San Francisco, CA",https://partiful.com/e/q6H7PRs4PSWVnqvEEQjD?
,TEDAI For Good Hackathon 2024,19 October,20 October,"San Francisco, CA",https://tedai-sanfrancisco.ted.com/hackathon/
,zkBuildathon: Zero Knowledge Required,13 October,13 October,"San Francisco, CA",https://lu.ma/zkbuildathon
,Build with OpenAI at the Pear Hackathon,12 October,12 October,"San Francisco, CA",https://pear.vc/events/build-with-pear-vc-and-openai-hackathon-at-our-fall-hackathon/
,xAI Hackathon,12 October,12 October,"San Francisco, CA",https://docs.google.com/forms/d/e/1FAIpQLSfe-0KYwA7sAB85haAMuqEIkovZNTtlGVqwue6Y557jM8l5Yg/viewform
,AGENTIC RAG-A-THON by LlamaIndex & Pinecone,11 October,13 October,"Palo Alto, CA",https://rag-a-thon-2.devpost.com/
,Climate x AI Hackathon,10 October,10 October,"San Francisco, CA",https://lu.ma/s1hoiomk
,"Horizon SF | Founders, Inc. x Tech Week",9 October,11 October,"San Francisco, CA",https://lu.ma/horizon-sf
,AI2Web3 Bootcamp,7 October,11 October,"San Francisco, CA",https://lu.ma/72pf06p0
,Bits and Bills - AI Agents in the Financial Services Hackathon,5 October,6 October,"San Francisco, CA",https://lu.ma/126821za
,Hack on ARC Prize: Strong Compute + GPUs included,27 September,29 September,"San Francisco, CA",https://lu.ma/dvvfewxe?utm_source=cerebral
,Judgment day hackathon - building LLM judges,21 September,22 September,"San Francisco, CA",https://wandb.ai/site/resources/events/judgment-day-hackathon
,Agentic AI World Hackathon; w/ Fetch.ai,21 September,22 September,"San Francisco, CA",https://lu.ma/agenthack
,CUDA MODE,21 September,21 September,"San Francisco, CA",https://events.accel.com/cudamode
,Squire.ai Hackathon I - Null to Agent,14 September,15 September,"San Francisco, CA",https://lu.ma/grccr844
,AI My Life - Hackathon,14 September,15 September,"San Francisco, CA",https://lu.ma/gfbkd0x3
,Agents & Future of UX Hackathon,14 September,14 September,"San Francisco, CA",https://partiful.com/e/KiYuRV9IglDtL2OHr9V0
,AI Agent Hack with LabLab and MindsDB,13 September,15 September,"San Francisco, CA",https://lu.ma/t1gcb9kb
,LLM x Law Hackathon @Stanford #4,8 September,8 September,"Stanford, CA",https://partiful.com/e/YmRKP8TSn3FBhgrsYHBH
,GenAI Goes Local Hackathon,7 September,7 September,"San Francisco, CA",https://app.agihouse.org/events/gen-ai-goes-local-20240907
,AI Devtools Hackathon,7 September,8 Sepetember,"San Francisco, CA",https://lu.ma/devtools-hackathon
,Generative AI Hackathon,7 September,7 September,"San Francisco, CA",https://www.aicamp.ai/event/eventdetails/W2024090709
